x,y,z,a,b,c
11733337.00000000,6983285.00000000,336.74398804,-0.126060,0.023427,0.991746
11733342.00000000,6983284.50000000,340.06399536,-0.031125,0.069763,0.997078
11733345.00000000,6983277.50000000,323.71200562,-0.045005,-0.082325,0.995589
11733353.00000000,6983275.50000000,324.26300049,-0.056216,-0.078261,0.995347
11733360.00000000,6983273.50000000,324.87399292,-0.127352,-0.058513,0.990130
11733370.00000000,6983271.00000000,325.66101074,-0.257116,-0.035676,0.965722
11733336.00000000,6983284.50000000,338.37100220,-0.145489,0.037804,0.988637
11733340.00000000,6983283.00000000,338.29199219,-0.080114,0.018159,0.996620
11733342.00000000,6983277.50000000,323.98800659,-0.070597,-0.084044,0.993958
11733345.00000000,6983276.50000000,323.60699463,-0.047479,-0.089438,0.994860
11733349.00000000,6983279.50000000,334.95199585,-0.017528,-0.038150,0.999118
11733355.00000000,6983273.50000000,324.30899048,-0.073002,-0.081987,0.993956
11733363.00000000,6983271.50000000,324.45401001,-0.163933,-0.057789,0.984777
11733370.00000000,6983270.00000000,325.66101074,-0.264128,-0.043401,0.963511
11733336.00000000,6983280.50000000,331.84201050,-0.131613,-0.051501,0.989962
11733343.00000000,6983275.00000000,323.42401123,-0.064383,-0.100527,0.992849
11733351.00000000,6983273.00000000,323.81100464,-0.052533,-0.099477,0.993652
11733359.00000000,6983271.00000000,324.41400146,-0.126976,-0.075719,0.989012
11733366.00000000,6983269.00000000,324.63699341,-0.210705,-0.062115,0.975574
11733335.00000000,6983279.00000000,332.04598999,-0.141739,-0.069112,0.987488
11733341.00000000,6983282.50000000,345.92999268,0.034987,0.361536,0.931701
11733341.00000000,6983277.00000000,331.37600708,-0.077976,-0.084756,0.993346
11733345.00000000,6983279.00000000,339.35501099,0.009205,-0.037842,0.999241
11733349.00000000,6983280.00000000,345.20199585,0.172308,0.142123,0.974736
11733353.00000000,6983271.00000000,323.81100464,-0.069487,-0.103661,0.992182
11733361.00000000,6983268.50000000,324.34201050,-0.153962,-0.082352,0.984639
11733369.00000000,6983266.50000000,324.55200195,-0.252280,-0.069032,0.965189
11733339.00000000,6983282.00000000,346.86199951,-0.119879,0.506957,0.853595
11733342.00000000,6983279.50000000,343.45599365,0.011452,0.055178,0.998411
11733342.00000000,6983272.50000000,323.12200928,-0.072481,-0.116200,0.990578
11733346.00000000,6983271.00000000,323.31201172,-0.044100,-0.120991,0.991674
11733354.00000000,6983269.00000000,323.73901367,-0.082065,-0.109805,0.990560
11733361.00000000,6983267.00000000,324.21701050,-0.160020,-0.090237,0.982981
11733368.00000000,6983265.00000000,324.50601196,-0.242709,-0.076711,0.967062
11733373.00000000,6983264.00000000,324.79501343,-0.294963,-0.098321,0.950437
11733339.00000000,6983282.50000000,352.45300293,-0.995047,0.099398,0.001069
11733342.00000000,6983281.00000000,351.29098511,0.981259,-0.100923,0.164151
11733345.00000000,6983279.00000000,348.81698608,0.638778,0.438639,0.632107
11733345.00000000,6983269.50000000,323.16799927,-0.051516,-0.129363,0.990258
11733352.00000000,6983267.50000000,323.48300171,-0.070455,-0.123584,0.989830
11733359.00000000,6983265.50000000,323.96798706,-0.145735,-0.102376,0.984012
11733367.00000000,6983263.50000000,324.54598999,-0.233014,-0.086908,0.968582
11733372.00000000,6983262.50000000,324.65701294,-0.278254,-0.103202,0.954947
11733337.00000000,6983277.00000000,342.10501099,-0.201714,-0.072128,0.976785
11733338.00000000,6983274.50000000,336.29800415,-0.123857,-0.121452,0.984840
11733342.00000000,6983277.50000000,347.32800293,0.657202,0.311646,0.686267
11733345.00000000,6983275.00000000,342.94500732,0.092106,-0.149523,0.984459
11733348.00000000,6983274.50000000,344.19799805,0.115830,-0.152408,0.981507
11733351.00000000,6983266.00000000,323.26599121,-0.065968,-0.128464,0.989518
11733359.00000000,6983264.00000000,323.76501465,-0.153850,-0.105393,0.982457
11733366.00000000,6983262.00000000,324.45401001,-0.222210,-0.094157,0.970442
11733336.00000000,6983279.00000000,350.62200928,0.258722,0.945909,0.195753
11733337.00000000,6983273.50000000,337.77398682,-0.147612,-0.142650,0.978704
11733337.00000000,6983268.00000000,322.49899292,-0.109184,-0.133181,0.985059
11733343.00000000,6983274.50000000,344.00799561,0.077359,-0.202607,0.976200
11733342.00000000,6983266.50000000,322.70800781,-0.071302,-0.139097,0.987708
11733345.00000000,6983266.00000000,322.83300781,-0.054241,-0.137334,0.989039
11733352.00000000,6983264.00000000,323.26599121,-0.080559,-0.124925,0.988890
11733360.00000000,6983262.00000000,323.70599365,-0.168033,-0.106707,0.979989
11733367.00000000,6983260.00000000,324.51300049,-0.224169,-0.105119,0.968865
11733372.00000000,6983259.00000000,324.51901245,-0.256209,-0.130076,0.957829
11733339.00000000,6983277.50000000,353.32501221,0.962820,-0.270074,0.006055
11733342.00000000,6983265.00000000,322.59698486,-0.071302,-0.139097,0.987708
11733348.00000000,6983263.50000000,322.92498779,-0.058861,-0.135033,0.989091
11733356.00000000,6983261.00000000,323.38400269,-0.130753,-0.113959,0.984844
11733364.00000000,6983259.00000000,323.87600708,-0.206149,-0.101200,0.973273
11733371.00000000,6983257.50000000,324.56500244,-0.240738,-0.131430,0.961650
11733338.00000000,6983274.00000000,348.23300171,-0.980349,-0.083822,0.178577
11733338.00000000,6983264.50000000,322.31500244,-0.099152,-0.137379,0.985543
11733344.00000000,6983262.50000000,322.51199341,-0.061441,-0.135634,0.988852
11733354.00000000,6983260.00000000,323.18099976,-0.109962,-0.114692,0.987296
11733362.00000000,6983258.00000000,323.63299561,-0.191843,-0.097778,0.976543
11733369.00000000,6983256.50000000,324.50000000,-0.224193,-0.119143,0.967234
11733337.00000000,6983270.50000000,341.27801514,-0.186251,-0.259664,0.947568
11733336.00000000,6983263.50000000,322.08499146,-0.111555,-0.133146,0.984798
11733344.00000000,6983272.00000000,351.03500366,0.769112,-0.536927,0.346665
11733347.00000000,6983260.50000000,322.73498535,-0.058763,-0.130199,0.989745
11733354.00000000,6983258.50000000,323.12799072,-0.109509,-0.109509,0.987935
11733362.00000000,6983256.50000000,323.61401367,-0.188136,-0.094683,0.977569
11733369.00000000,6983254.50000000,324.40100098,-0.209365,-0.118006,0.970691
11733375.00000000,6983257.00000000,334.65701294,-0.376714,-0.197739,0.904979
11733342.00000000,6983272.50000000,354.95901489,0.952299,-0.298635,0.062803
11733345.00000000,6983259.50000000,322.52499390,-0.058397,-0.124809,0.990461
11733353.00000000,6983257.50000000,323.02301025,-0.101624,-0.103960,0.989376
11733361.00000000,6983255.50000000,323.50900269,-0.179316,-0.091488,0.979528
11733368.00000000,6983253.00000000,323.92898560,-0.199283,-0.109042,0.973856
11733336.00000000,6983269.00000000,344.45999146,-0.292531,-0.450404,0.843541
11733342.00000000,6983272.00000000,356.34399414,0.952299,-0.298635,0.062803
11733345.00000000,6983258.50000000,322.42599487,-0.060575,-0.120008,0.990923
11733352.00000000,6983256.00000000,322.98400879,-0.098673,-0.098673,0.990216
11733360.00000000,6983254.00000000,323.45001221,-0.170252,-0.085730,0.981664
11733368.00000000,6983252.00000000,323.75201416,-0.193097,-0.105892,0.975449
11733373.00000000,6983251.00000000,324.28298950,-0.199313,-0.130759,0.971173
11733339.00000000,6983258.50000000,322.03298950,-0.087563,-0.120253,0.988874
11733346.00000000,6983256.50000000,322.53799438,-0.060109,-0.107742,0.992360
11733354.00000000,6983254.50000000,323.06900024,-0.117185,-0.082377,0.989688
11733362.00000000,6983252.50000000,323.44299316,-0.178152,-0.083622,0.980443
11733369.00000000,6983250.50000000,323.69900513,-0.184090,-0.105018,0.977283
11733340.00000000,6983256.50000000,322.01998901,-0.081878,-0.109554,0.990603
11733347.00000000,6983254.50000000,322.58401489,-0.064137,-0.093393,0.993561
11733355.00000000,6983252.50000000,323.07598877,-0.126146,-0.070596,0.989497
11733365.00000000,6983250.00000000,323.52801514,-0.180927,-0.083785,0.979921
11733341.00000000,6983254.50000000,322.07901001,-0.078601,-0.096827,0.992193
11733349.00000000,6983252.50000000,322.65600586,-0.077178,-0.072704,0.994363
11733357.00000000,6983250.50000000,323.12200928,-0.141130,-0.064150,0.987910
11733341.00000000,6983253.00000000,322.07199097,-0.077642,-0.082143,0.993592
11733349.00000000,6983251.00000000,322.61700439,-0.078585,-0.060876,0.995047
11733338.00000000,6983252.50000000,321.78298950,-0.087015,-0.075714,0.993326
11733345.00000000,6983250.50000000,322.43899536,-0.069309,-0.062708,0.995622
11733335.00000000,6983250.50000000,321.57299805,-0.095837,-0.064267,0.993320
11733335.00000000,6983341.50000000,328.75201416,-0.016083,-0.086850,0.996092
11733335.00000000,6983339.00000000,328.58099365,-0.018305,-0.087219,0.996021
11733339.00000000,6983339.00000000,328.92898560,-0.056443,-0.083005,0.994949
11733346.00000000,6983343.00000000,329.69699097,-0.113293,-0.092269,0.989268
11733341.00000000,6983337.50000000,328.98800659,-0.070309,-0.079237,0.994373
11733336.00000000,6983332.00000000,328.18099976,-0.045005,-0.082325,0.995589
11733345.00000000,6983339.50000000,329.51901245,-0.097655,-0.086166,0.991483
11733340.00000000,6983334.50000000,328.73901367,-0.065574,-0.078911,0.994723
11733335.00000000,6983329.00000000,327.99099731,-0.044996,-0.084505,0.995407
11733345.00000000,6983338.50000000,329.48699951,-0.094945,-0.085794,0.991779
11733340.00000000,6983333.00000000,328.66000366,-0.065574,-0.078911,0.994723
11733335.00000000,6983328.00000000,327.90499878,-0.047298,-0.082497,0.995468
11733346.00000000,6983338.50000000,329.55200195,-0.105193,-0.086698,0.990665
11733341.00000000,6983333.00000000,328.72601318,-0.068088,-0.079250,0.994527
11733336.00000000,6983327.50000000,327.90499878,-0.051914,-0.082842,0.995210
11733349.00000000,6983340.00000000,329.88699341,-0.139426,-0.096526,0.985517
11733344.00000000,6983334.50000000,329.08599854,-0.082497,-0.080237,0.993356
11733339.00000000,6983329.00000000,328.26599121,-0.061010,-0.078759,0.995025
11733354.00000000,6983343.50000000,330.42498779,-0.198683,-0.087618,0.976139
11733350.00000000,6983338.00000000,329.86700439,-0.144775,-0.096915,0.984707
11733344.00000000,6983333.00000000,329.02099609,-0.080237,-0.082497,0.993356
